ethereum_address,github_username,impact_percentage
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,47.52
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,39.09
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,coderabbitai,2.48
0x3965d420cde24fe00f742cb31257ca90e04556a7,tomaszsmy,1.07
0x819e4F5E912abb36c8f6c03790e7508e03cc37a3,UmenR,1.01
0x513DceE2929a6e0CD115fb65Ec926d6569d98aff,venkatesh2k3,0.69
0x5367a6d4F5991327Bb20466684790e394bE000dE,Shubham-Vishwakarma,0.68
0x0000000000000000000000000000000000000000,aschworer,0.65
0x4709ebf314c6492d57f4c6d4f57357d5b2bb074e,vrudas,0.54
0x914dBEe36BcAb63B2D15fAED08839Be43797b421,hhio618,0.52
0x0000000000000000000000000000000000000000,urosht,0.51
0x78888390AA08D9A25f3BDB8A1B35351D7c7F8a12,Bender-22,0.42
0x914dBEe36BcAb63B2D15fAED08839Be43797b421,watr-sheep,0.34
0x0000000000000000000000000000000000000000,eymaal,0.32
0x0000000000000000000000000000000000000000,jpatel3,0.31
0x0000000000000000000000000000000000000000,Keerthi4308,0.31
0x0000000000000000000000000000000000000000,alexander-kuruvilla,0.29
0x0000000000000000000000000000000000000000,SnehaHS65,0.27
0x0000000000000000000000000000000000000000,vuriaval,0.26
0x0000000000000000000000000000000000000000,SamehNoukary,0.25
