id,value,symbol,word_ids,word_texts
1,0,,[1],"[""zero""]"
2,1,,[2],"[""one""]"
3,2,,[3],"[""two""]"
4,3,,[4],"[""three""]"
5,4,,[5],"[""four""]"
6,5,,[6],"[""five""]"
7,6,,[7],"[""six""]"
8,7,,[8],"[""seven""]"
9,8,,[9],"[""eight""]"
10,9,,[10],"[""nine""]"
20,10,,[676],"[""ten""]"
21,11,,[677],"[""eleven""]"
22,12,,[678],"[""twelve""]"
23,13,,[679],"[""thirteen""]"
24,14,,[680],"[""fourteen""]"
25,15,,[681],"[""fifteen""]"
26,16,,[682],"[""sixteen""]"
27,17,,[683],"[""seventeen""]"
28,18,,[684],"[""eighteen""]"
29,19,,[685],"[""nineteen""]"
30,20,,[686],"[""twenty""]"
36,21,,"[686,2]","[""twenty"",""one""]"
127,23,,"[686,4]","[""twenty"",""three""]"
128,24,,"[686,5]","[""twenty"",""four""]"
129,25,,"[686,6]","[""twenty"",""five""]"
130,26,,"[686,7]","[""twenty"",""six""]"
131,27,,"[686,8]","[""twenty"",""seven""]"
132,28,,"[686,9]","[""twenty"",""eight""]"
133,29,,"[686,10]","[""twenty"",""nine""]"
134,30,,[697],"[""thirty""]"
135,31,,"[697,2]","[""thirty"",""one""]"
136,32,,"[697,3]","[""thirty"",""two""]"
137,22,,"[686,3]","[""twenty"",""two""]"
138,33,,"[697,4]","[""thirty"",""three""]"
139,34,,"[697,5]","[""thirty"",""four""]"
140,35,,"[697,6]","[""thirty"",""five""]"
141,36,,"[697,7]","[""thirty"",""six""]"
142,37,,"[697,8]","[""thirty"",""seven""]"
143,38,,"[697,9]","[""thirty"",""eight""]"
144,39,,"[697,10]","[""thirty"",""nine""]"
145,40,,[698],"[""forty""]"
146,41,,"[698,2]","[""forty"",""one""]"
147,42,,"[698,3]","[""forty"",""two""]"
148,43,,"[698,4]","[""forty"",""three""]"
149,44,,"[698,5]","[""forty"",""four""]"
150,46,,"[698,7]","[""forty"",""six""]"
151,45,,"[698,6]","[""forty"",""five""]"
152,47,,"[698,8]","[""forty"",""seven""]"
153,48,,"[698,9]","[""forty"",""eight""]"
154,49,,"[698,10]","[""forty"",""nine""]"
155,50,,[699],"[""fifty""]"
178,51,,"[699,2]","[""fifty"",""one""]"
