id,text,sound_ids,usage_count
21,"er",[],58
43,"of",[],45
3,"al",[],43
50,"re",[],42
45,"ou",[],26
18,"ed",[],25
38,"ly",[],22
66,"ca",[],19
23,"ev",[],18
138,"से",[],18
84,"ta",[],17
20,"en",[],15
7,"as",[],11
113,"को",[],11
16,"de",[],9
22,"es",[],9
57,"ty",[],9
108,"और",[],9
131,"यह",[],9
13,"by",[],8
110,"का",[],8
111,"की",[],8
1,"af",[],7
24,"ex",[],7
26,"fa",[],7
30,"if",[],7
44,"or",[],7
53,"sa",[],7
140,"है",[],7
4,"an",[],6
48,"py",[],6
135,"वह",[],6
17,"di",[],5
55,"ti",[],5
58,"un",[],5
107,"एक",[],5
109,"कर",[],5
6,"ar",[],4
11,"bi",[],4
27,"fi",[],4
75,"la",[],4
37,"lo",[],4
39,"ma",[],4
52,"ry",[],4
105,"इस",[],4
65,"bu",[],3
98,"mi",[],3
83,"si",[],3
61,"wa",[],3
119,"तक",[],3
120,"तो",[],3
124,"ने",[],3
144,"ad",[],2
8,"au",[],2
15,"da",[],2
89,"dy",[],2
69,"et",[],2
95,"fe",[],2
31,"im",[],2
36,"li",[],2
40,"mo",[],2
41,"na",[],2
42,"ni",[],2
91,"po",[],2
148,"ru",[],2
85,"tu",[],2
100,"ur",[],2
128,"बस",[],2
130,"भी",[],2
132,"या",[],2
139,"ही",[],2
141,"हो",[],2
149,"27",[],1
143,"ac",[],1
92,"br",[],1
93,"co",[],1
145,"cu",[],1
14,"cy",[],1
142,"ei",[],1
19,"el",[],1
25,"ey",[],1
28,"fu",[],1
96,"gy",[],1
94,"h…",[],1
97,"lu",[],1
146,"m…",[],1
78,"ob",[],1
147,"ot",[],1
46,"pa",[],1
47,"pi",[],1
51,"ri",[],1
99,"ro",[],1
87,"rr",[],1
88,"s ",[],1
150,"ue",[],1
101,"va",[],1
86,"vi",[],1
102,"अब",[],1
103,"आप",[],1
104,"इन",[],1
106,"उन",[],1
112,"के",[],1
114,"घर",[],1
115,"छी",[],1
116,"छड़",[],1
117,"जी",[],1
118,"डर",[],1
121,"दी",[],1
122,"नि",[],1
123,"नी",[],1
125,"पर",[],1
126,"पा",[],1
127,"भए",[],1
129,"भन",[],1
133,"यो",[],1
134,"लो",[],1
136,"वे",[],1
137,"सा",[],1
32,"'t",[],0
73,"(u",[],0
2,"ah",[],0
5,"ap",[],0
9,"az",[],0
10,"ba",[],0
12,"bo",[],0
67,"ci",[],0
68,"ea",[],0
70,"fy",[],0
71,"fz",[],0
72,"il",[],0
33,"iz",[],0
34,"ji",[],0
35,"ke",[],0
74,"ku",[],0
76,"ll",[],0
90,"mu",[],0
77,"ny",[],0
79,"oc",[],0
80,"op",[],0
49,"s'",[],0
81,"s:",[],0
54,"se",[],0
82,"t)",[],0
56,"tv",[],0
60,"ve",[],0
62,"wo",[],0
63,"wu",[],0
64,"zo",[],0
29,"…i",[],0
