id,letter_ids,allophone_ids,usage_count
1,[1],[1],3200
5,[2],[5],928
6,[5],[2],898
23,"[2,4]",[3],820
8,[3],[4],599
7,[6],[7],599
14,[3],[14],570
9,[7],[6],501
16,[8],[13],394
17,[9],[15],387
3,[11],[10],357
11,[10],[11],354
10,[12],[9],340
18,[13],[16],275
4,[15],[20],239
20,[4],[22],205
12,[14],[12],182
15,[17],[17],179
13,[16],[19],144
24,"[5,3,11]",[24],80
19,[20],[23],72
27,[1],"[1,8]",58
21,[19],[21],31
22,[19],[38],16
26,"[6,5]",[33],4
25,"[5,11]",[24],1
2,[18],[1],0
