id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[7],"[""บ""]",[1],"[""b""]",0
2,[7],"[""บ""]",[2],"[""p""]",0
3,[1],"[""ก""]",[3],"[""k""]",0
4,[4],"[""ง""]",[4],"[""ŋ""]",0
5,[6],"[""ด""]",[5],"[""d""]",0
6,[6],"[""ด""]",[6],"[""t""]",0
7,[8],"[""น""]",[7],"[""n""]",0
8,[9],"[""ป""]",[2],"[""p""]",0
9,[10],"[""ฝ""]",[8],"[""f""]",0
10,[11],"[""ฟ""]",[8],"[""f""]",0
11,[11],"[""ฟ""]",[2],"[""p""]",0
12,[12],"[""ม""]",[9],"[""m""]",0
13,[13],"[""◌า""]",[10],"[""aː""]",0
14,[14],"[""ย""]",[11],"[""y""]",0
15,[1],"[""ก""]","[3,12]","[""k"",""ɔ""]",0
16,[15],"[""◌ี""]",[13],"[""iː""]",0
17,[16],"[""◌ู""]",[14],"[""uː""]",0
18,[18],"[""ว""]",[16],"[""w""]",0
19,[17],"[""ห""]",[15],"[""h""]",0
20,[19],"[""แ◌""]",[17],"[""ɛː""]",0
21,[20],"[""พ""]",[18],"[""pʰ""]",0
